Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
range,limits within which something extends or varies,5,1,5.12,easy
become,to begin to be; grow to be; develop into,6,2,5.4,hard
arise,"to begin, to start to happen",5,2,3.93,hard
react,to behave or make a change in a particular way,5,2,4.16,hard
expect,to believe something is probably going to happen,6,2,5.01,medium
reckon,to believe that something is true or possible; to calculate or guess,6,2,3.76,hard
lean,to bend or move someone's body in a particular direction; (adj) very little fat,4,1,4.14,hard
burst,to break in a sudden and violent way,5,1,4.15,hard
split,to break something into pieces or divide something,5,1,4.65,easy
sigh,to breathe out in a way to show boredom or disappointment,4,1,3.95,hard
remember,to bring a previous image or idea to your mind,8,3,5.38,hard
import,to bring items or goods from one country into another,6,2,4.1,hard
reaction,feeling or action in response to something,8,3,4.73,medium
construct,to build or create something,9,2,3.98,hard
reader,person who reads written or printed materials,6,2,4.34,hard
insure,to buy protection against possible loss or injury,6,2,3.4,hard
reality,"what is true, as opposed to what is imagined",7,4,4.89,hard
realize,to become aware of or understand mentally,7,3,4.83,medium
love,to care for and like someone very strong and deeply,4,1,5.82,easy
send,to cause mail or package to go to another place,4,1,5.11,easy
embarrass,to cause someone to feel uncomfortable about something,9,3,3.41,hard
reasonable,fair and sensible; appropriate,10,4,4.59,hard
move,to cause something to change to a different place,4,1,5.35,easy
recall,to remember events or details of the past,6,2,4.4,medium
convert,"to change form, character, or function to another",7,2,4.11,hard
recent,happening or beginning not long ago,6,2,5.04,hard
recently,just a while ago; not long ago,8,3,5.02,hard
update,to change something by adding the most recent information,6,2,4.69,medium
adapt,to change something to fit or suit a new purpose,5,2,3.98,hard
recognize,to remember because you have met it before,9,3,4.52,hard
recommend,to say something is good and deserves to be chosen,9,3,4.61,hard
transform,to change the shape of something completely,9,2,4.04,hard
translate,to change words from one language into another,9,2,3.93,hard
edit,to check and makes changes before publication,4,2,4.3,hard
red,being the color of blood,3,1,5.32,easy
reduce,to make something smaller or use less of it,6,2,4.73,medium
wipe,to clean or dry something with a cloth,4,1,4.01,hard
refer,to talk about or write about something,5,2,4.45,hard
reference,to cite a piece of research in speech or in writing,9,3,4.74,hard
shut,to close something,4,1,4.78,easy
reform,to improve society by removing abuse and injustices,6,2,4.53,medium
integrate,to combine together; make into one thing,9,3,3.72,hard
refuse,to say that you will not accept something,6,2,4.39,medium
regard,to pay attention to someone or something,6,2,4.36,medium
follow,to come after someone; be guided by someone,6,2,5.14,hard
return,to come back to a place again,6,2,5.19,hard
register,to record your name on an official list; sign up,8,3,4.59,medium
reach,to come to or arrive at a goal or destination,5,1,4.94,easy
meet,to come together at a certain time or place,4,1,5.27,easy
regular,occurring or being done frequently,7,3,4.95,medium
cluster,"to come together to form a group of people, animals, or things",7,2,3.99,hard
compose,to come together to form or make something,7,2,3.46,hard
regulation,official rule that controls how something is done,10,4,4.38,hard
relate,to understand or sympathize with someone or something,6,2,4.24,hard
relationship,"manner in which people, groups or countries behave toward one another",12,4,5.15,hard
relative,measured or considered in comparison to something else,8,3,4.48,medium
relatively,in a manner that measures or compares something to something else,10,4,4.66,hard
eliminate,to completely remove; to get rid of,9,4,4.15,hard
retain,to continue to have or use something; to keep,6,2,4.16,hard
religious,concerning religion or faith,9,3,4.85,hard
drive,to control a vehicle so that it moves somewhere,5,1,5.13,easy
wrap,to cover something on all sides with a piece of material or paper,4,1,4.2,hard
make,to create something by putting things together,4,1,6.08,easy
invent,to create something useful for the first time,6,2,3.57,hard
remind,to make someone remember something,6,2,4.37,medium
cope,to deal successfully with a difficult problem,4,1,4.04,hard
remove,"to move, erase or take away from a place",6,2,4.71,medium
rent,to pay money for the use of something,4,1,4.58,hard
devote,to decide to use or give something for something else,6,2,3.53,hard
repeat,to say something again,6,2,4.49,medium
replace,to use instead of something else,7,2,4.58,medium
reply,answer someone's question,5,2,4.5,hard
want,to desire or wish for something; hope for a thing,4,1,6.04,easy
price,to determine or set the cost of something,5,1,5.23,easy
representative,typical of a particular group or thing,14,5,4.57,hard
request,to ask for something,7,2,4.76,medium
require,"to need something, to make it necessary",7,3,4.78,medium
requirement,something that is a necessity,11,3,4.26,hard
weigh,"to determine the weight of, using scales",5,1,3.99,hard
research,to carefully study to find and report new knowledge,8,2,5.39,hard
grow,to develop and become bigger or taller over time,4,1,4.9,easy
resident,someone who lives in a particular place,8,3,4.38,medium
derive,to develop or get something from something else,6,2,3.51,hard
control,to direct or influence the behavior of something,7,2,5.4,hard
detect,to discover or identify the presence of something,6,2,4.05,hard
find,to discover something by looking for it,4,1,5.76,easy
consult,to discuss something to make a decision,7,2,3.87,hard
exhibit,to display or make available for people to see,7,3,4.16,hard
resource,essential supply of something,8,2,4.39,medium
respect,to think very highly of another person because of what they do,7,2,5.03,hard
play,to do or perform a game or sport,4,1,5.61,easy
respond,to say or write to answer the question,7,2,4.53,medium
response,something said or written as an answer to something,8,2,5.03,hard
responsibility,state of being dependable or reliable,14,6,4.75,hard
responsible,having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner,11,4,4.88,hard
rest,"time when one relaxes, sleeps, or is inactive",4,1,5.23,easy
restaurant,"place where you can order, buy and eat a meal",10,3,4.68,hard
fulfill,to do something that was promised or required,7,2,3.86,hard
rush,to do something very quickly,4,1,4.48,hard
use,"to do something with, for a task or purpose",3,1,5.81,easy
continue,"to do something without stopping, or after pausing",8,3,5.08,hard
begin,to do the first part of an action; to start,5,2,4.84,hard
solar,"to do with the sun, like sunlight or the heat from the sun",5,2,4.53,hard
consume,"to eat, drink, buy or use up something",7,2,3.88,hard
be,To exist; to be alive; used to give information about someone or something,2,1,6.79,easy
anticipate,to expect or look ahead to something positively,10,4,3.73,hard
reveal,"to make known, to show or prove",6,2,4.43,medium
revenue,money that is made by or paid to a business,7,3,4.64,medium
undergo,"to experience something, often bad",7,3,3.81,hard
review,to carefully look at the quality of something,6,2,5.12,hard
show,to explain or teach how something is done,4,1,5.68,easy
praise,to express approval of something or someone,6,1,4.31,hard
protest,to express opposition through action or words,7,2,4.45,medium
neglect,to fail to take care of something,7,2,3.79,hard
rich,"having a lot of money, possessions, or resources",4,1,4.91,easy
admire,to feel respect or wonder toward someone,6,2,3.97,hard
ride,to sit on and control a horse or vehicle,4,1,4.85,easy
occupy,"to fill a time, a space, or an area",6,3,3.93,hard
rise,to move from a lower position to a higher one,4,1,4.81,easy
risk,to take the chance that you may do something dangerous,4,1,5.05,easy
river,flowing water that runs from mountains to the sea,5,2,5.03,hard
road,long piece of hard land for cars to travel on,4,1,5.24,easy
rock,"big stone; hard, solid substance forming mountains",4,1,5.03,easy
role,character played by an actor,4,1,5.16,easy
roll,to move along a surface by turning many times,4,1,4.75,easy
resolve,to find an answer or way to handle a problem,7,2,4.17,hard
calculate,to find an answer using mathematics,9,3,3.87,hard
root,part of a plant that grows underground,4,1,4.41,hard
compute,to find out by calculating or estimating,7,2,3.41,hard
like,to find something pleasing; to prefer something,4,1,6.41,easy
round,being in the shape of a circle or ball,5,1,5.14,easy
route,way to get from one place to another place,5,1,4.67,easy
trace,"to find, describe or discover by investigation",5,1,4.19,hard
stop,to finish moving or to come to an end,4,1,5.52,easy
repair,to fix something that is broken; fix,6,2,4.41,medium
rule,statement that says how things should be,4,1,4.94,easy
study,to focus on learning something usually at school,5,2,5.26,hard
specialize,to focus on one area of a field or profession,10,3,3.28,hard
chase,to follow and try to catch someone or something,5,1,4.44,hard
safe,being out of danger,4,1,5.07,easy
safety,state of being free from harm or danger,6,2,4.97,medium
pursue,to follow and try to catch something; to try to get something,6,2,4.26,hard
cough,"to force air through your throat with a short, loud noise",5,1,3.95,hard
evaluate,to form an idea to judge something carefully,8,4,4.01,hard
poll,to get information by asking many people questions about a particular subject,4,1,4.35,hard
learn,to get knowledge or skills by study or experience,5,1,5.17,easy
recruit,"to get people to come and work, join, or study with you",7,2,3.89,hard
buy,to get something by paying money for it,3,1,5.32,easy
receive,to get something that someone has given or sent to you,7,2,4.85,medium
deserve,to get the appropriate reward or punishment for the way you behaved or something you did,7,2,4.59,medium
satisfy,to be happy because you met your expectation,7,3,3.98,hard
save,to rescue someone or something from a bad situation,4,1,5.14,easy
qualify,to get the necessary skill or knowledge to do a particular job or activity,7,3,4.19,hard
scale,a device that is used to weigh a person or thing,5,1,4.83,easy
persuade,"to get you to do/believe something, by giving reasons",8,2,3.82,hard
excuse,to give a reason to explain why you did something,6,2,4.56,medium
scene,part of an act in a play,5,1,4.97,easy
schedule,to arrange a time to do something with others,8,2,4.67,medium
scheme,often dishonest plan to get or do something,6,1,4.57,hard
communicate,to give and exchange information,11,4,4.2,hard
support,to give assistance or advice to someone,7,2,5.53,hard
science,knowledge of the physical world based on facts,7,2,5.12,hard
pay,to give money for goods or work done,3,1,5.4,easy
deal,"to give out (cards, etc.) to; distribute",4,1,5.32,easy
score,to get points in a sport such as kicking a ball into a goal,5,1,4.83,easy
justify,to give reasons why you did something or why it is right,7,3,4.14,hard
screen,"flat surface on a computer, or tv that shows images",6,1,4.85,hard
sea,place with a large amount of salt water,3,1,5.06,easy
assign,to give someone a particular job or something to do,6,2,3.66,hard
search,to carefully look for something,6,1,4.96,hard
season,one of the four parts of the year determined mainly by the weather during that time,6,2,5.48,hard
reward,to give something to someone because of their good work,6,2,4.33,hard
offer,to give the opportunity to accept something,5,2,5.05,hard
entitle,to give the right to do or have something to someone,7,3,2.71,hard
section,one of the parts that form something,7,2,5.0,medium
sector,area that includes certain kinds of job,6,2,4.66,medium
secure,"to protect something from danger or harm, keep things safe",6,2,4.64,medium
lend,to give to someone for a while before it is returned,4,1,3.92,hard
yield,to give way to someone or something else,5,1,4.16,hard
seek,to search for; to try to find; look for,4,1,4.61,hard
dedicate,"to give your energy, time, etc., completely to someone",8,3,3.51,hard
sink,"to go down below the surface of water, mud, etc.",4,1,4.21,hard
select,"to choose from a group, something most suitable",6,2,4.45,medium
reverse,to go in the opposite direction,7,2,4.37,medium
accompany,to go somewhere with someone,9,4,3.81,hard
sell,to exchange something for money,4,1,4.98,easy
visit,"to go to a place for a time, usually for a reason",5,2,5.04,hard
senior,having higher status or authority than another person,6,2,4.92,medium
sense,"to perceive using sight, sound, taste touch or hearing",5,1,5.19,easy
develop,"to grow bigger, more complex, or more advanced",7,3,4.75,medium
sentence,set of spoken or written words that make a whole statement,8,2,4.58,medium
separate,"to divide into parts, or to make something divide into parts",8,3,4.83,medium
distribute,to hand in or deliver something to people,10,3,3.79,hard
series,number of things that happen one after another,6,2,5.35,hard
serious,needing thought or concentration; important; in a sober manner,7,3,5.1,hard
give,to hand over or present something to someone,4,1,5.71,easy
serve,to give or provide something to another person,5,1,4.85,easy
disagree,to have a different opinion from someone,8,3,4.09,hard
negotiate,to have a formal discussion to reach an agreement,9,4,3.99,hard
settle,to move to a new environment and become accustomed to it,6,2,4.37,medium
mean,to have a particular meaning or value,4,1,5.53,easy
think,"to have an idea, opinion, or belief about something",5,1,6.08,easy
keep,to have and continue to hold something,4,1,5.66,easy
sex,state of being male or female mostly biological,3,1,5.22,easy
dare,to have enough courage to do something,4,1,4.31,hard
know,to have knowledge of things in your mind,4,1,6.1,easy
shake,to move something violently back and forth or up and down,5,1,4.33,hard
shall,"expressing the future tense, to expect to happen",5,1,5.03,easy
shape,"outer form of something, what it looks like",5,1,4.72,easy
involve,to have or be included as a part of something,7,2,4.28,hard
encounter,"to have or experience something, often unpleasant or difficult",9,3,4.26,hard
possess,to have or own something,7,2,4.02,hard
dominate,to have power or influence over,8,3,3.87,hard
correspond,to have similarity or equality with something,10,3,3.5,hard
assist,to help,6,2,4.42,medium
boost,to help increasing progress or growth,5,1,4.41,hard
sponsor,to help someone or something succeed by giving them money ,7,2,4.04,hard
shift,to change in position or direction,5,1,4.57,hard
crash,to hit something hard enough to cause serious damage,5,1,4.55,hard
ship,large boat,4,1,4.93,easy
shock,sudden bad feeling caused by something unexpected,5,1,4.46,hard
shoot,to kick or throw a ball at a goal,5,1,4.73,easy
shop,place which sells things,4,1,4.88,easy
tap,to hit something lightly,3,1,4.28,hard
short,small distance from one end to the other,5,1,5.33,easy
knock,to hit something to get people's attention,5,1,4.35,hard
embrace,to hold someone closely,7,2,4.16,hard
harm,"to hurt, damage, or cause problems",4,1,4.47,hard
incorporate,to include or involve as part of something else,11,4,3.85,hard
point,to indicate something with your finger to others,5,1,5.54,easy
unite,to join or come together as one,5,2,3.9,hard
isolate,to keep in a place or situation apart from others,7,3,3.6,hard
preserve,to keep something in an unchanged or perfect condition,8,2,4.19,hard
understand,"to know the meaning of language, what someone says",10,3,5.37,hard
significant,large enough to be noticed or have an effect; important,11,4,4.98,hard
resign,to leave a job because you want to,6,2,3.97,hard
abandon,to leave someone or something you are responsible for and not return,7,3,4.02,hard
allow,to let or permit someone do something,5,2,5.01,hard
underlie,to lie or exist beneath,8,3,2.68,hard
counsel,to listen and give expert advice to someone,7,2,4.16,hard
similar,nearly the same,7,3,5.21,hard
simple,not hard to understand or do; not complex,6,2,5.08,hard
simply,in an easy or clear manner,6,2,5.08,hard
care,to look after someone or something,4,1,5.56,easy
sing,to make musical sounds with your voice,4,1,4.54,hard
single,"only, merely",6,2,5.41,hard
read,to look at and comprehend the meaning some writing,4,1,5.54,easy
watch,to look at carefully to work out what is happening,5,1,5.34,easy
sister,female you share a parent with,6,2,4.95,medium
stare,to look at someone or something for a long time,5,1,3.91,hard
glance,to look at someone or something quickly,6,1,3.91,hard
situation,"condition, location or position",9,4,5.09,hard
size,how big or small a thing is,4,1,5.13,easy
scan,to look within something for a particular person or thing,4,1,4.07,hard
skill,ability to do something well,5,1,4.42,hard
fade,to lose strength or freshness,4,1,3.86,hard
service,to maintain a piece of machinery so it runs well,7,2,5.49,hard
sleep,"to rest your body in bed, as at night time",5,1,5.05,easy
sustain,"to maintain, lengthen or continue to do something",7,2,3.93,hard
alter,to make a change to something,5,2,4.05,hard
decide,to make a choice about something or choose after thinking,6,2,4.78,medium
slightly,concerning a small quantity or degree,8,2,4.75,medium
boom,to make a deep hollow resonant sound,4,1,4.33,hard
pour,to make a liquid flow from one container into another,4,1,4.1,hard
slow,moving or happening without speed; not fast,4,1,4.85,easy
swear,to make a serious promise to do something,5,1,4.51,hard
scream,to make a sudden loud cry,6,1,4.14,hard
bet,to make an agreement on the results of an event where the losers give something (usually money) to the winner,3,1,4.79,easy
smoke,to breathe in through a cigarette and then blow it out,5,1,4.67,easy
try,"to make an effort, to attempt to do something",3,1,5.5,easy
provide,to make available; to supply for use,7,2,5.15,hard
shine,to make bright light,5,1,4.17,hard
craft,to make by hand and with much skill,5,1,4.3,hard
society,community of people living together,7,4,5.17,hard
revise,to make changes to improve something,6,2,3.48,hard
software,market for software is expected to expand,8,2,4.77,medium
note,to make mention of something; to make a remark,4,1,5.04,easy
soldier,person who is in the military,7,2,4.46,medium
complicate,to make more difficult,10,3,3.26,hard
solution,something that ends a problem,8,3,4.84,medium
solve,to find a way to deal with a problem,5,1,4.42,hard
change,"to make or become different, or into something else",6,1,5.54,hard
somebody,person who is not known or named,8,3,4.8,medium
increase,to make or become something larger in size or amount,8,2,5.08,hard
someone,person who is not known or named,7,2,5.63,hard
regulate,to make rules or laws to control something or someone,8,3,3.87,hard
sometimes,only at certain times; occasionally,9,2,5.28,hard
impress,to make someone admire or respect another person or thing,7,2,3.93,hard
somewhere,at or to an unknown or unnamed place,9,2,4.74,hard
son,male child; friendly way of addressing a boy,3,1,5.28,easy
song,some music with words in verse,4,1,5.26,easy
frighten,to make someone afraid or nervous,8,2,3.08,hard
sorry,what you say to admit you were wrong,5,2,5.18,hard
trick,to make someone believe something that is not true,5,1,4.48,hard
motivate,to make someone excited about doing something,8,3,3.6,hard
source,produces or provides what is wanted or needed,6,1,5.15,hard
south,direction that is the opposite of north,5,1,5.4,easy
scare,to make someone feel frightened or worried,5,1,4.07,hard
space,empty area with nothing in it,5,1,5.23,easy
depress,to make someone feel very sad; to reduce the value of something,7,2,2.86,hard
inspire,to make someone have the desire to do something,7,2,4.0,hard
speaker,person who makes a speech before a group,7,2,4.49,medium
special,different from what is usual; better or greater than normal,7,2,5.34,hard
anger,"to make someone mad, upset, or annoyed",5,2,4.42,hard
bore,to make someone not interested in something,4,1,3.93,hard
interest,to make someone want to know about something,8,2,5.17,hard
specific,special or particular; clearly presented or stated,8,3,5.03,hard
speech,expression of ideas or opinions,6,1,4.85,hard
speed,quality of being fast or quick,5,1,5.0,easy
include,to make someone/something part of a group,7,2,5.21,hard
enhance,to make something better; to improve,7,2,4.04,hard
stretch,to make something bigger or looser by pulling on it,7,1,4.35,hard
spirit,part of a person that is not physical and believed to be the source of human emotions and character,6,2,4.79,medium
cause,to make something happen; create effect or result,5,1,5.35,easy
ban,to make something illegal or not allowed,3,1,4.55,hard
sport,game or physical exercise with rules,5,1,4.73,easy
spot,see someone by chance,4,1,4.89,easy
spread,to place something over or cover a large area,6,1,4.81,hard
spring,time of year when plants start growing after winter,6,1,4.92,hard
bend,to make something not straight; make into a curve,4,1,4.13,hard
seal,to make something so that it does not leak air or water,4,1,4.3,hard
staff,employees of a company,5,1,5.08,easy
stage,place where actors or musician perform for others,5,1,5.1,easy
trigger,to make something start happening,7,2,4.25,hard
strengthen,to make something stronger,10,2,4.04,hard
confuse,to make something unclear or hard to understand,7,2,3.67,hard
assure,to make sure that something happens,6,2,4.06,hard
level,to make things flat or even,5,2,5.41,hard
standard,accepted level of quality; an official measurement,8,2,5.03,hard
star,a bright planet of gas in the night sky,4,1,5.19,easy
constitute,to make up or be part of something,10,3,3.85,hard
comprise,to make up or form something,8,2,3.62,hard
pump,to make water or any other liquid move using a machine,4,1,4.28,hard
statement,act or process of saying something formally,9,2,4.97,hard
station,place where you can catch a train or a bus,7,2,5.01,medium
status,position or rank relative to others in a society,6,2,4.87,medium
create,"to make, cause, or bring into existence",6,2,5.02,hard
stain,to mark or change the color of something so it looks dirty,5,1,3.7,hard
step,flat horizontal piece that forms stairs,4,1,5.13,easy
stick,long thin piece of wood from a tree,5,1,4.76,easy
greet,to meet someone with friendly words and actions; to welcome,5,1,3.73,hard
suggest,to mention something that could be done; propose,7,2,4.75,medium
cite,to mention the work of others in your writing,4,1,3.67,hard
stone,"hard, solid piece of rock",5,1,4.8,easy
stir,to mix something by making circular movements in it with a tool,4,1,3.96,hard
breathe,to move air into and out of your lungs,7,1,4.26,hard
store,place where you can go to buy things,5,1,5.02,easy
wander,to move around without purpose,6,2,3.67,hard
leap,to move forwards often in big steps,4,1,3.94,hard
straight,"not having curves, bends, or angles",8,1,5.04,hard
dig,to move material to create a hole,3,1,4.22,hard
strange,unusual or odd; surprising because unexpected,7,1,4.64,hard
fold,to move one part of something so that it lies on top of another part,4,1,4.08,hard
strategy,careful plan or method for achieving a goal,8,3,4.74,medium
put,to move or place a thing in a particular position,3,1,5.66,easy
street,road in a city with buildings and places to walk,6,1,5.28,hard
strength,being strong,8,1,4.8,hard
go,to move or travel to another place,2,1,6.03,easy
stress,to be in a state of mental tension due to problems,6,1,4.73,hard
hurry,to move quickly,5,2,4.14,hard
slide,"to move smoothly and easily, usually over a surface",5,1,4.3,hard
strike,to hit something,6,1,4.66,hard
swing,to move smoothly backwards and forwards or from side to side while hanging from something,5,1,4.34,hard
come,to move toward someone; go with someone,4,1,5.78,easy
walk,to move with your legs at a slowish pace,4,1,5.08,easy
strong,having big muscles; physically powerful,6,1,5.22,hard
run,to move your legs faster than walking,3,1,5.49,easy
struggle,to try very hard to do something difficult,8,2,4.62,medium
owe,"to need to pay money to a person, bank, business, etc.",3,1,4.13,hard
rid,to no longer be wanted so you throw it away,3,1,4.5,hard
stuff,"generic description for things, materials, objects",5,1,5.14,easy
disappoint,to not meet the expectations of others or yourself,10,3,3.67,hard
let,to not stop someone from doing something,3,1,5.6,easy
perceive,to notice or become aware of something,8,2,3.72,hard
distinguish,to notice the difference between two or more things or people,11,3,3.87,hard
get,"to obtain, receive, or be given something",3,1,6.28,easy
appoint,"to officially choose a person for a job, position",7,2,3.7,hard
success,achievement of a desired purpose or goal,7,2,5.06,hard
successful,having the desired effect or result,10,3,4.94,hard
govern,to officially control and lead an area,6,2,3.67,hard
mount,to organize and begin an action; to attach to a support,5,1,4.47,hard
suddenly,in an unexpected or very quick manner,8,3,4.69,medium
suffer,"to experience pain, illness, or injury",6,2,4.45,medium
have,"to own, possess, or hold something",4,1,6.71,easy
call,to phone someone,4,1,5.51,easy
take,to pick up something and go away with it,4,1,5.92,easy
suggestion,idea about what someone should do,10,3,4.23,hard
suit,to be appropriate for a given situation,4,1,4.7,easy
situate,to place someone or something in a particular place or position,7,3,2.41,hard
sum,amount when all is added together; total,3,1,4.34,hard
click,to press a button,5,1,4.82,easy
summer,part of the year when the weather is hot,6,2,5.23,hard
sun,the hot shining star the earth moves around,3,1,4.97,easy
bite,to press down on or cut into something with the teeth,4,1,4.31,hard
restrict,to prevent from doing something,8,2,3.8,hard
supply,to give or sell goods to others for their use,6,2,4.81,medium
exclude,to prevent someone from access to a group,7,2,3.78,hard
suppose,to imagine or guess what might happen,7,2,4.56,medium
breed,to produce baby animals of specific kinds,5,1,4.08,hard
defend,to protect against an attack,6,2,4.47,medium
surface,of the top layer; superficial,7,2,4.83,medium
input,"to put in information, advice, or opinions",5,2,4.35,hard
surprise,to do something that another person didn't expect,8,2,4.75,medium
restore,"to put or bring back into existence or use, mend",7,2,4.18,hard
surround,to be on every side of something,8,2,3.79,hard
survey,to ask people a question about a particular topic,6,2,4.69,medium
pose,to put someone in a position to be photographed,4,1,4.1,hard
survive,to continue to live despite illness or trouble,7,2,4.52,medium
place,to put something in a certain location or position,5,1,5.71,easy
bury,to put something into the ground and cover it,4,2,3.89,hard
grab,to quickly reach out and take something in your hand.,4,1,4.52,hard
borrow,to receive something from someone and later return it,6,2,4.0,hard
sweep,to remove dust or dirt from a surface with a broom or brush,5,1,3.97,hard
swim,to move through water by moving parts of the body,4,1,4.21,hard
interpret,to repeat what was said in another language,9,3,3.81,hard
rescue,to save something from danger or harm,6,2,4.48,medium
remark,to say an opinion or make a comment about something,6,2,3.66,hard
table,raised flat surface,5,2,5.05,hard
value,to say how much money something is worth,5,2,5.15,hard
tell,to say or communicate information to someone,4,1,5.53,easy
joke,to say or do things that are meant to be funny,4,1,4.68,easy
blame,to say someone is responsible for something bad,5,1,4.63,hard
damn,to say someone should be punished for their bad behavior,4,1,5.09,easy
declare,to say something in an official or sure way,7,2,4.05,hard
apologize,to say sorry because of a mistake or injury you made,9,4,4.16,hard
accuse,to say that someone has done something bad or wrong,6,2,3.71,hard
tape,to stick things together using an adhesive strip,4,1,4.44,hard
target,a goal or amount you are trying to achieve,6,2,4.82,medium
task,big or small piece of work someone has to do,4,1,4.65,easy
tax,money taken by a government from its people,3,1,5.14,easy
taxi,car that transports people for money,4,2,4.19,hard
tea,drink made when you put dried leaves in hot water,3,1,4.73,easy
teach,to help someone learn or do something,5,1,4.67,easy
teacher,"person who teaches others, especially in a school",7,2,4.88,medium
team,group of people working on a task together,4,1,5.67,easy
technical,of practical use of machines or science in industry,9,3,4.75,hard
technique,way of doing by using special knowledge or skill,9,2,4.47,hard
telephone,machine used to talk to someone who is far away,9,3,4.41,hard
criticize,to say that someone or something is bad,9,3,3.63,hard
talk,to say things or ideas to someone with words,4,1,5.42,easy
tend,to regularly behave in a certain way,4,1,4.57,hard
ask,to say to someone that you want something,3,1,5.34,easy
steal,to secretly take something that belongs to another,5,1,4.41,hard
broadcast,to send out signals by radio or television,9,2,4.39,hard
dismiss,to send someone away,7,2,3.85,hard
cast,"to send, throw, or move something or someone in a direction",4,1,4.79,easy
break,"to separate into pieces by force, or by dropping",5,1,5.18,easy
install,to set up a piece of equipment so that it is ready to use,7,2,4.14,hard
expose,"to show something that is usually hidden, covered, or protected",6,2,3.98,hard
lead,to show the way or guide others,4,1,5.2,easy
slip,to slide out of position or fall to the ground by accident,4,1,4.28,hard
text,written part of a book or other work,4,1,5.01,easy
evolve,to slowly change or develop into something better,6,2,3.8,hard
grin,to smile a big smile,4,1,3.59,hard
shout,to speak very loudly because you want to get their attention,5,1,4.06,hard
ruin,"to spoil something, to make it useless",4,2,4.31,hard
theater,place where shows are performed on a stage,7,3,4.35,hard
theme,main subject to discuss or describe,5,1,4.62,hard
themselves,reflexive form of they,10,2,5.16,hard
implement,to start and carry out a plan or government policy; (n) tool,9,3,4.2,hard
found,to start something such as a company or organization,5,1,5.68,easy
summarize,to state the main or most important ideas of something,9,3,3.23,hard
allege,to state without proof,6,2,3.18,hard
therefore,for that reason,9,2,4.87,hard
specify,"to state, name, or mention exactly and clearly",7,3,3.78,hard
float,to stay on the surface of a liquid and not sink,5,1,3.94,hard
cancel,to stop a planned event from happening,6,2,4.18,hard
hesitate,to stop before doing something because you are unsure what to do,8,3,3.79,hard
disturb,to stop someone from working or sleeping,7,2,3.56,hard
suspend,to stop something for a period of time; to interrupt,7,2,3.68,hard
retire,to stop working because you have reached a certain age,6,2,4.05,hard
threat,warning of probable trouble,6,1,4.6,hard
threaten,to say you will harm or hurt someone,8,2,3.94,hard
emphasize,to stress the items that are important,9,3,3.69,hard
throughout,"over or across an entire thing or place, or in every part of something",10,2,4.99,hard
throw,to use your arm to make a thing fly through the air,5,1,4.83,easy
thus,therefore; so; as a result,4,1,4.91,easy
ticket,piece of paper that lets you enter or use something,6,2,4.61,medium
urge,to strongly persuade someone to do something,4,1,4.11,hard
till,until,4,1,4.79,easy
analyze,to study carefully to find out the meaning of,7,3,3.84,hard
win,to succeed in a game or contest,3,1,5.39,easy
tire,lose energy and feel that you need to rest,4,2,4.02,hard
overcome,to succeed in a struggle,8,3,4.27,hard
title,name given to something to identify or describe it,5,2,5.1,hard
accomplish,to succeed in doing; complete successfully,10,3,4.05,hard
collapse,to suddenly fall down or break apart,8,2,4.18,hard
imply,"to suggest something, without saying it directly",5,2,3.83,hard
tomorrow,day after today,8,3,5.02,hard
advise,to suggest what should be done,6,2,4.09,hard
tackle,to take action to solve a difficult problem,6,2,4.15,hard
tonight,night following this day,7,2,5.03,hard
entertain,to take care of guests by helping them enjoy their time,9,3,3.83,hard
bring,to take or go with someone to a place,5,1,5.27,easy
happen,to take place or occur,6,2,5.19,hard
topic,matter people talk or write about,5,2,4.49,hard
total,whole number or amount of something,5,2,5.21,hard
totally,in a complete way; completely; absolutely,7,3,4.83,medium
tough,very difficult to do or deal with,5,1,4.77,easy
tour,a journey to visit several places for pleasure,4,1,4.99,easy
tourist,someone who travels to a place for pleasure,7,2,4.2,hard
strip,to take something away from (someone),5,1,4.36,hard
toward,facing or moving in the direction of something,6,2,4.72,medium
bother,to take the trouble to do something,6,2,4.39,medium
chat,to talk in a friendly and relaxed manner,4,1,4.57,hard
whisper,to talk with breath but no voice,7,2,3.74,hard
track,to follow behind someone to see what they are doing,5,1,5.02,easy
trade,"to buy, sell and exchange goods in business",5,1,5.12,easy
traditional,involved in a tradition,11,4,4.84,hard
traffic,amount of activity over a communication system,7,2,4.85,medium
educate,to teach someone in a school or college,7,3,3.92,hard
thank,to tell someone you are grateful to them,5,1,5.48,easy
transfer,to move something from one place to another,8,2,4.72,medium
aside,to the side; out of the way; for later use,5,2,4.59,hard
consider,to think carefully about something,8,3,4.99,medium
transport,to carry things from one place to another,9,2,4.68,hard
believe,to think or accept that something is true,7,2,5.51,hard
travel,to go to a place that is far away,6,2,5.0,medium
treat,to act in a certain way toward someone,5,1,4.75,easy
treatment,way someone acts toward another,9,2,5.01,hard
tree,tall green plants in a forest,4,1,4.85,easy
trend,"general direction of developing, proceeding",5,1,4.51,hard
trial,concerning or used in a trial,5,2,4.87,hard
stroke,to touch someone or something repeatedly in a caring way,6,1,4.27,hard
sail,to travel on water in a ship or boat,4,1,4.01,hard
trip,journey or visit to a place,4,1,4.9,easy
